key,name,group,language,color,source,note
me_gondorian,Gondorian,me_dunedain_group,me_gondorian_dialect,55 103 139,"LOTR, Appendix A; ENDORE plan 6.1","Westron-speaking Dúnedain and the people long mingled with them"
me_dol_amrothian,Dol Amrothian,me_dunedain_group,me_dol_amrothian_dialect,73 119 157,"LOTR, Book V, Ch. 1; ENDORE plan 6.1","Belfalas culture with remembered Elven affinity"
me_arnor_dunedain,Northern Dúnedain,me_dunedain_group,me_arnor_dunedain_dialect,71 91 108,"LOTR, Appendix A; ENDORE plan 6.1","The remnant people of Arnor"
me_black_numenorean,Black Númenórean,me_dunedain_group,me_black_numenorean_dialect,78 43 57,"LOTR, Appendix A; ENDORE plan 6.1","Umbar's surviving high lineage under the Shadow"
me_rohirric,Rohirric,me_northmen_group,me_rohirric_dialect,92 143 66,"LOTR, Appendix A; ENDORE plan 6.1","The horse-folk of the Mark"
me_dalish,Dalish,me_northmen_group,me_dalish_dialect,151 96 54,"The Hobbit, Ch. 14; ENDORE plan 6.1","Dale and Lake-town share one Northman culture"
me_beorning,Beorning,me_northmen_group,me_beorning_dialect,121 83 49,"The Hobbit, Ch. 7; ENDORE plan 6.1","The folk of the upper Vales of Anduin"
me_woodman,Woodman,me_northmen_group,me_woodman_dialect,72 126 65,"Unfinished Tales, The Disaster of the Gladden Fields; ENDORE plan 6.1","Western Mirkwood and Anduin-valley Woodmen"
me_eriadoran,Eriadoran,me_northmen_group,me_eriadoran_dialect,136 117 77,"LOTR, Book I; † ENDORE plan 6.1","A gameplay umbrella for Bree-land and sparse Westron-speaking Eriador"
me_dorwinrim,Dorwinrim,me_northmen_group,me_dorwinrim_dialect,139 72 105,"The Hobbit, Ch. 9; ENDORE plan 6.1","Wine-growing Northmen east of Mirkwood"
me_dunlending,Dunlending,me_middle_men_group,me_dunlending_dialect,109 79 53,"LOTR, Appendix A; ENDORE plan 6.1","The hill-folk west of the Mark"
me_lossoth,Lossoth,me_middle_men_group,me_lossoth_dialect,112 157 169,"LOTR, Appendix A; ENDORE plan 6.1","The Snowmen of Forochel"
me_druedain,Drúedain,me_middle_men_group,me_druedain_dialect,84 111 68,"LOTR, Book V, Ch. 5; ENDORE plan 6.1","The Wild Men of Drúadan Forest"
me_near_haradrim,Near Haradrim,me_southron_group,me_near_haradrim_dialect,174 103 48,"LOTR, Book IV; ENDORE plan 6.1","The peoples immediately south of the Harnen"
me_far_haradrim,Far Haradrim,me_southron_group,me_far_haradrim_dialect,146 77 42,"LOTR, Book V, Ch. 6; ENDORE plan 6.1","The on-map fringe of Far Harad"
me_umbarite,Umbarite,me_southron_group,me_umbarite_dialect,114 54 68,"LOTR, Appendix A; ENDORE plan 6.1","Corsair commons distinct from the Black Númenórean elite"
me_variag,Variag,me_southron_group,me_variag_dialect,129 70 49,"LOTR, Book V, Ch. 6; ENDORE plan 6.1","The Variags of Khand"
me_balchoth,Balchoth,me_easterling_group,me_balchoth_dialect,145 64 40,"LOTR, Appendix A; † ENDORE plan 6.1","A surviving Balchoth-descended eastern people"
me_karmachi,Karmachi,me_easterling_group,me_karmachi_dialect,166 91 37,"† ENDORE plan 6.1 and 8.1","Invented Wainrider-descended confederation"
me_sagath,Sagath,me_easterling_group,me_sagath_dialect,119 51 37,"† ENDORE plan 6.1 and 8.1","Invented eastern-march people"
me_shire_hobbit,Shire-hobbit,me_hobbit_group,me_shire_hobbit_dialect,130 161 73,"LOTR, Book I; ENDORE plan 6.1","Harfoot, Stoor, and Fallohide ancestry is blended by TA 3018"
me_bree_hobbit,Bree-hobbit,me_hobbit_group,me_bree_hobbit_dialect,151 137 78,"LOTR, Book I, Ch. 9; ENDORE plan 6.1","The smaller Hobbit community of Bree"
me_noldor,Noldor,me_elven_group,me_noldorin_dialect,138 148 190,"LOTR, Appendix B; The Silmarillion; ENDORE plan 6.1","High Elves remaining chiefly in Imladris and Lindon"
me_sindar,Sindar,me_elven_group,me_sindarin_dialect,91 127 165,"LOTR, Appendix B; The Silmarillion; ENDORE plan 6.1","Grey-elven communities and courts"
