ref,name,x,y,rank,source
the_angle,The Angle,0.442,0.415,refuge,"† ENDORE plan 8.1; seat of the Rangers inferred from their Angle settlement"
blue_halls,Halls of Ered Luin,0.275,0.465,hold,"† ENDORE plan 8.1; composite of surviving Blue Mountain dwarf-halls"
iron_hills,Iron Hills,0.720,0.285,hold,"The Hobbit, Ch. 17"
woodmen_hall,Woodmen's Hall,0.550,0.445,town,"† ENDORE plan 8.1; political seat invented for the Woodmen"
wellinghall,Wellinghall,0.500,0.610,refuge,"LOTR, Book III, Ch. 4"
ghans_glade,Ghân's Glade,0.585,0.735,refuge,"† seat invented because canon gives the Drúedain no capital"
forochel_camp,Forochel Camp,0.285,0.180,camp,"† seasonal seat invented for the Lossoth polity"
rhosgobel,Rhosgobel,0.565,0.405,refuge,"LOTR map"
harnenhold,Harnenhold,0.585,0.865,city,"† seat invented from the River Harnen border"
qarsad,Qarsad,0.675,0.900,city,"† Haradrim city-king's seat invented for southern political texture"
mumak_gate,Mûmak Gate,0.570,0.965,city,"† seat invented for the on-map Far Harad fringe"
khazan,Khazân,0.750,0.875,city,"† Variag seat invented from the canon seed Khand"
burh_gath,Burh Gath,0.860,0.410,city,"† Rhûnic seat invented from Balchoth and Wainrider registers"
wainhold,Wainhold,0.875,0.500,city,"† seat invented for a wain-kingdom"
eastern_march,Eastern March,0.910,0.350,city,"† seat invented for the Sagath confederation"
dunland_moot,Dunland Moot,0.425,0.630,town,"† political seat invented because canon gives Dunland no capital"
mount_gram,Mount Gram,0.405,0.315,hold,"LOTR, Book I, Ch. 1"
tharbad,Tharbad,0.405,0.520,ruin,"LOTR, Appendix A"
ost_in_edhil,Ost-in-Edhil,0.448,0.495,ruin,"LOTR, Appendix B; The Silmarillion, Of the Rings of Power"
lond_daer,Lond Daer,0.350,0.650,ruin,"Unfinished Tales, The History of Galadriel and Celeborn"
methedras,Methedras,0.478,0.595,landmark,"LOTR, Book III, Ch. 9"
derndingle,Derndingle,0.505,0.625,refuge,"LOTR, Book III, Ch. 4"
celebrant,Field of Celebrant,0.545,0.585,landmark,"LOTR, Appendix A"
rauros,Rauros,0.575,0.610,landmark,"LOTR, Book II, Ch. 9"
amon_hen,Amon Hen,0.565,0.600,ruin,"LOTR, Book II, Ch. 10"
amon_lhaw,Amon Lhaw,0.585,0.600,ruin,"LOTR, Book II, Ch. 9"
argonauth,The Argonath,0.570,0.585,ruin,"LOTR, Book II, Ch. 9"
cair_andros,Cair Andros,0.620,0.680,fortress,"LOTR, Book V, Ch. 4"
henneth_annun,Henneth Annûn,0.665,0.690,refuge,"LOTR, Book IV, Ch. 5"
emyn_arnen,Emyn Arnen,0.650,0.755,landmark,"LOTR, Book V, Ch. 8"
cross_roads,The Cross-roads,0.670,0.720,ruin,"LOTR, Book IV, Ch. 7"
cirith_ungol,Cirith Ungol,0.700,0.680,fortress,"LOTR, Book IV, Ch. 8"
shelobs_lair,Shelob's Lair,0.707,0.687,ruin,"LOTR, Book IV, Ch. 9"
durthang,Durthang,0.720,0.640,fortress,"LOTR map"
narchost,Narchost,0.677,0.615,fortress,"LOTR, Book V, Ch. 10"
carchost,Carchost,0.690,0.615,fortress,"LOTR, Book V, Ch. 10"
udun,Udûn,0.720,0.635,landmark,"LOTR map"
gorgoroth,Gorgoroth,0.760,0.710,landmark,"LOTR map"
nurn,Nurn,0.770,0.790,landmark,"LOTR map"
lithlad,Lithlad,0.835,0.735,landmark,"LOTR map"
dead_marshes,Dead Marshes,0.650,0.600,ruin,"LOTR, Book IV, Ch. 2"
dagorlad,Dagorlad,0.675,0.570,ruin,"LOTR, Book IV, Ch. 2"
tolfalas,Tolfalas,0.560,0.855,landmark,"LOTR map"
edhellond,Edhellond,0.525,0.790,ruin,"Unfinished Tales, The History of Galadriel and Celeborn"
pinnath_gelin,Pinnath Gelin,0.465,0.775,landmark,"LOTR, Book V, Ch. 1"
lamedon,Lamedon,0.520,0.755,landmark,"LOTR, Book V, Ch. 1"
lossarnach,Lossarnach,0.600,0.755,landmark,"LOTR, Book V, Ch. 1"
harlond_gondor,Harlond of Gondor,0.620,0.735,port,"LOTR, Book V, Ch. 6"
rammas_echor,Rammas Echor,0.620,0.710,ruin,"LOTR, Book V, Ch. 4"
stonewain_valley,Stonewain Valley,0.600,0.725,landmark,"LOTR, Book V, Ch. 5"
paths_of_dead,Paths of the Dead,0.525,0.735,ruin,"LOTR, Book V, Ch. 2"
halifirien,Halifirien,0.580,0.675,landmark,"LOTR, Book V, Ch. 1"
fords_of_isen,Fords of Isen,0.465,0.665,landmark,"LOTR, Book III, Ch. 7"
firien_wood,Firien Wood,0.585,0.685,landmark,"LOTR, Appendix A"
gladden_fields,Gladden Fields,0.525,0.465,ruin,"LOTR, Book I, Ch. 2"
old_forest,The Old Forest,0.375,0.455,landmark,"LOTR, Book I, Ch. 6"
barrow_downs,Barrow-downs,0.390,0.440,ruin,"LOTR, Book I, Ch. 7"
sarn_ford,Sarn Ford,0.335,0.485,landmark,"LOTR, Book I, Ch. 2"
brandywine_bridge,Brandywine Bridge,0.375,0.405,landmark,"LOTR, Book I, Ch. 4"
mountains_of_mirkwood,Mountains of Mirkwood,0.590,0.420,landmark,"LOTR map"
withered_heath,Withered Heath,0.700,0.235,ruin,"The Hobbit, Ch. 1; LOTR map"
grey_mountain_holds,Grey Mountain Ruins,0.610,0.220,ruin,"LOTR, Appendix A"
