location,realm,normalized_x,normalized_y,region,biome_id,distance_to_capital,forced,contract,verdict
mithlond,LIN,0.3091575,0.2261847,me_lindon_region,1,0.0000010,yes,Grey Havens is an active city of Lindon at TA 3018,accepted_required_frontier_owner
forlond,LIN,0.2656899,0.2203224,me_lindon_region,1,0.0871337,yes,Forlond is an active town of Lindon at TA 3018,accepted_required_frontier_owner
harlond_lindon,LIN,0.2830281,0.2686859,me_lindon_region,1,0.0673603,yes,Harlond is an active town of Lindon at TA 3018,accepted_required_frontier_owner
annuminas,WILD,0.3599512,0.1787982,me_north_arnor_region,1,,no,deliberately unclaimed,wild_unclaimed
fornost,WILD,0.3929182,0.1758671,me_north_arnor_region,1,,no,deliberately unclaimed,wild_unclaimed
carn_dum,ANG,0.4488400,0.0635076,me_angmar_region,5,0.0815097,yes,Carn Dûm is an active fortress of Angmar at TA 3018,accepted_required_frontier_owner
hobbiton,SHI,0.3592186,0.2217880,me_shire_breeland_region,1,0.0269933,yes,Hobbiton is an active village of Shire at TA 3018,accepted_required_frontier_owner
michel_delving,SHI,0.3462759,0.2291158,me_shire_breeland_region,1,0.0001070,yes,Michel Delving is an active town of Shire at TA 3018,accepted_required_frontier_owner
bucklebury,SHI,0.3768010,0.2325354,me_shire_breeland_region,1,0.0612132,yes,Bucklebury is an active village of Shire at TA 3018,accepted_required_frontier_owner
me_bree,BRE,0.4026862,0.2320469,me_shire_breeland_region,1,0.0001146,yes,Bree is an active town of Bree-land at TA 3018,accepted_required_frontier_owner
amon_sul,WILD,0.4271062,0.2271617,me_north_arnor_region,1,,no,deliberately unclaimed,wild_unclaimed
rivendell,RIV,0.4935287,0.2227650,me_north_arnor_region,1,0.0001270,yes,Rivendell is an active refuge of Imladris at TA 3018,accepted_required_frontier_owner
goblin_town,GOB,0.5098901,0.1914998,me_anduin_vale_region,1,0.0001094,yes,Goblin-town is an active hold of Misty Mountains at TA 3018,accepted_required_frontier_owner
gundabad,GUN,0.5023199,0.1025892,me_northern_wastes_region,4,0.0001138,yes,Gundabad is an active hold of Gundabad at TA 3018,accepted_required_frontier_owner
moria,MOA,0.4901099,0.3356131,me_anduin_vale_region,1,0.0002472,yes,Khazad-dûm is an active hold of Moria at TA 3018,accepted_required_frontier_owner
carrock,BEO,0.5316239,0.1924768,me_anduin_vale_region,1,0.0002279,yes,The Carrock is an active village of Beornings at TA 3018,accepted_required_frontier_owner
caras_galadhon,LOR,0.5194139,0.3561309,me_anduin_vale_region,3,0.0001190,yes,Caras Galadhon is an active refuge of Lothlórien at TA 3018,accepted_required_frontier_owner
dol_guldur,DOL,0.5560440,0.3517342,me_mirkwood_region,3,0.0001455,yes,Dol Guldur is an active fortress of Dol Guldur at TA 3018,accepted_required_frontier_owner
thranduil_halls,WOO,0.5821734,0.1582804,me_dale_region,3,0.0003083,yes,Thranduil's Halls is an active refuge of Woodland Realm at TA 3018,accepted_required_frontier_owner
esgaroth,ESG,0.5997558,0.1626771,me_dale_region,1,0.0002500,yes,Esgaroth is an active town of Lake-town at TA 3018,accepted_required_frontier_owner
dale,DAL,0.6017094,0.1489985,me_dale_region,1,0.0002200,yes,Dale is an active city of Dale at TA 3018,accepted_required_frontier_owner
erebor,ERE,0.5997558,0.1377626,me_dale_region,1,0.0001934,yes,Erebor is an active hold of Erebor at TA 3018,accepted_required_frontier_owner
dorwinion,DOR,0.6847375,0.3512457,me_rhun_region,9,0.0001593,yes,Dorwinion is an active town of Dorwinion at TA 3018,accepted_required_frontier_owner
