key,name,semantic_family,engine_family,color,major,dialects,source,note
me_westron_language,Westron,me_mannish_family,germanic_language_family,126 119 91,yes,me_gondorian_dialect|me_dol_amrothian_dialect|me_arnor_dunedain_dialect|me_black_numenorean_dialect|me_eriadoran_dialect|me_shire_hobbit_dialect|me_bree_hobbit_dialect|me_dunlending_dialect|me_druedain_dialect,"LOTR, Appendix F; ENDORE plan 6.2","Dialect keys distinguish cultures while sharing a generous Westron name pool"
me_northman_language,Northern Mannish,me_mannish_family,germanic_language_family,112 139 77,yes,me_rohirric_dialect|me_dalish_dialect|me_beorning_dialect|me_woodman_dialect|me_dorwinrim_dialect,"LOTR, Appendix F; ENDORE plan 6.2","Rohirric and Dale speech are grouped for gameplay while dialects remain distinct"
me_eldarin_language,Eldarin,me_eldarin_family,celtic_language_family,112 145 181,yes,me_noldorin_dialect|me_sindarin_dialect|me_silvan_dialect|me_galadhrim_dialect,"The Silmarillion, Appendix; LOTR, Appendix F; ENDORE plan 6.2","Quenya is represented in the Noldorin pool; daily map cultures use their dialects"
me_khuzdul_language,Khuzdul,me_khuzdul_family,semitic_language_family,133 101 69,yes,me_longbeard_dialect|me_blue_mountain_dialect,"LOTR, Appendix F; ENDORE plan 6.2","Secret Dwarven language; most invented personal fills are conservative compounds"
me_haradric_language,Haradric,me_southron_family,south_semitic_language_family,170 96 48,yes,me_near_haradrim_dialect|me_far_haradrim_dialect|me_umbarite_dialect,"† ENDORE plan 6.2","Constructed in-register because binding canon gives almost no lexicon"
me_rhunic_language,Rhûnic,me_easterling_family,turkic_language_family,149 70 41,yes,me_balchoth_dialect|me_karmachi_dialect|me_sagath_dialect,"† ENDORE plan 6.2","Constructed in-register from Balchoth and Wainrider seeds"
me_khandish_language,Khandish,me_easterling_family,turkic_language_family,125 72 52,no,me_variag_dialect,"† ENDORE plan 6.2","Constructed in-register for the Variags"
me_black_speech_language,Black Speech and Orkish,me_black_speech_family,iranic_language_family,80 45 39,yes,me_mordor_orc_dialect|me_isengard_uruk_dialect|me_misty_orc_dialect|me_northern_orc_dialect,"LOTR, Appendix F; ENDORE plan 6.2","Attested Black Speech and Orkish fragments seed harsh constructed fills"
me_lossoth_language,Lossoth Speech,me_lossoth_family,eskaleut_language_family,113 157 169,no,me_lossoth_dialect,"† ENDORE plan 6.2","Constructed cautiously because canon supplies no personal lexicon"
me_entish_language,Entish,me_entish_family,uralic_language_family,57 111 62,no,me_onodrim_dialect,"LOTR, Book III, Ch. 4; ENDORE plan 6.2","Short game-facing bynames stand in for names too long for ordinary speech"
